cities,country,date,lat,lng,temp_max,humid,wind,cloud
nikolskoye,RU,1539977400,59.7,30.79,39.2,93,8.95,40
riyadh,SA,1539979200,24.63,46.72,78.8,44,5.82,0
chokurdakh,RU,1539980925,70.62,147.9,13.59,87,12.12,68
yar-sale,RU,1539980926,66.83,70.83,26.82,100,3.62,68
butaritari,KI,1539980927,3.07,172.79,83.56,100,6.2,36
rikitea,PF,1539980928,-23.12,-134.97,75.24,99,10.56,12
necochea,AR,1539980929,-38.55,-58.74,53.91,78,12.68,8
vanimo,PG,1539980930,-2.67,141.3,82.35,100,6.76,44
ushuaia,AR,1539975600,-54.81,-68.31,50,55,2.62,0
korla,,,,,,,,
talaya,RU,1539980933,55.79,84.89,30.73,89,4.63,0
klaksvik,FO,1539978600,62.23,-6.59,46.4,75,11.41,68
tuktoyaktuk,CA,1539979200,69.44,-133.03,14,85,4.7,20
punta arenas,CL,1539979200,-53.16,-70.91,59,35,6.93,0
suozhen,CN,1539980937,36.95,118.1,35.55,73,2.73,8
portland,US,1539976200,45.52,-122.67,60.8,76,5.82,40
busselton,AU,1539980939,-33.64,115.35,61.33,100,17.6,76
aklavik,CA,1539979200,68.22,-135.01,23,92,4.7,75
mataura,NZ,1539980941,-46.19,168.86,55.26,79,15.03,44
candido mendes,BR,1539980942,-1.45,-45.72,82.17,94,16.26,0
raudeberg,NO,1539978600,61.99,5.14,50,81,24.16,92
new norfolk,AU,1539979200,-42.78,147.06,62.6,63,6.93,75
saint-philippe,CA,1539979200,45.36,-73.48,60.8,51,24.16,1
mys shmidta,,,,,,,,
gizo,IL,1539978600,31.8,34.94,77,78,1.12,20
georgetown,GY,1539979200,6.8,-58.16,78.8,100,4.7,40
amderma,,,,,,,,
bull savanna,JM,1539980949,17.89,-77.59,84.46,57,6.76,0
port elizabeth,US,1539978960,39.31,-74.98,62.6,54,3.36,1
namibe,AO,1539980951,-15.19,12.15,70.56,100,9.22,0
atuona,PF,1539980952,-9.8,-139.03,79.83,100,14.47,24
